tf_container  | Epoch 28 Batch 1400 Loss 0.3560
tf_container  | Epoch 28 Loss 0.359178
tf_container  | Time taken for 1 epoch 368.72051668167114 sec
tf_container  |
tf_container  | Epoch 29 Batch 0 Loss 0.3716
tf_container  | Epoch 29 Batch 100 Loss 0.3896
tf_container  | Epoch 29 Batch 200 Loss 0.3635
tf_container  | Epoch 29 Batch 300 Loss 0.3613
tf_container  | Epoch 29 Batch 400 Loss 0.3679
tf_container  | Epoch 29 Batch 500 Loss 0.3361
tf_container  | Epoch 29 Batch 600 Loss 0.3678
tf_container  | Epoch 29 Batch 700 Loss 0.3526
tf_container  | Epoch 29 Batch 800 Loss 0.3404
tf_container  | Epoch 29 Batch 900 Loss 0.3287
tf_container  | Epoch 29 Batch 1000 Loss 0.3504
tf_container  | Epoch 29 Batch 1100 Loss 0.3786
tf_container  | Epoch 29 Batch 1200 Loss 0.3752
tf_container  | Epoch 29 Batch 1300 Loss 0.3482
tf_container  | Epoch 29 Batch 1400 Loss 0.3538
tf_container  | Epoch 29 Loss 0.354984
tf_container  | Time taken for 1 epoch 369.38693952560425 sec
tf_container  |
